รหัสใหม่,รหัสเดิม,หมวด (ตำแหน่งที่ 7),ชื่อหมวด,กลุ่มวิชา,ชื่อรายวิชา (ไทย),ชื่อรายวิชา (อังกฤษ),หน่วยกิต,ภาคการศึกษาที่เปิดสอน
EN-714-11001,EN-001-121,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,การเขียนแบบวิศวกรรมและการวางผังระบบ,Engineering Drawing and System Layout Design,3(2-2-5),1
EN-714-11002,EN-001-122,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,การเขียนโปรแกรมพื้นฐานสำหรับปัญญาประดิษฐ์,Foundational Programming for Artificial Intelligence,3(2-2-5),1
EN-714-11003,EN-001-123,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,กลศาสตร์วัสดุและการออกแบบโครงสร้าง,Mechanics of Materials and Structural Design,3(3-0-6),1
EN-714-11004,EN-001-128,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,ปฏิบัติการวิศวกรรมเชิงบูรณาการ 1: การสร้างชิ้นงานและการติดตั้งเซนเซอร์,Integrated Engineering Workshop 1: Fabrication and Sensor Installation,1(0-2-1),1
EN-714-11005,EN-001-124,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,วิศวกรรมความร้อนและของไหลในระบบอัจฉริยะ,Thermal-Fluid Engineering in Smart Systems,3(3-0-6),2
EN-714-11006,EN-001-125,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,พื้นฐานไฟฟ้าและอิเล็กทรอนิกส์สำหรับระบบอัจฉริยะ,Electrical and Electronic Fundamentals for Intelligent Systems,3(3-0-6),2
EN-714-11007,EN-001-126,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,สถิติและการวิเคราะห์ข้อมูลสำหรับวิศวกรรม,Statistics and Data Analysis for Engineering,3(3-0-6),2
EN-714-11008,EN-001-129,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,ปฏิบัติการวิศวกรรมเชิงบูรณาการ 2: ระบบขับเคลื่อนและการควบคุมอัตโนมัติ,Integrated Engineering Workshop 2: Drive Systems and Automatic Control,1(0-2-1),2
EN-714-11009,EN-001-227,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,เศรษฐศาสตร์วิศวกรรมและการวิเคราะห์ต้นทุน,Engineering Economics and Cost Analysis,3(3-0-6),3
EN-714-11010,EN-001-230,1,วิชาแกนหรือวิชาพื้นฐาน,2.1 พื้นฐานและปฏิบัติการวิศวกรรม,ปฏิบัติการวิศวกรรมเชิงบูรณาการ 3: การบูรณาการระบบและการส่งมอบ,Integrated Engineering Workshop 3: System Integration and Handover,1(0-2-1),3
EN-714-12001,EN-131-101,2,วิชาชีพบังคับ,2.2 แกนปัญญาประดิษฐ์,ความรู้เบื้องต้นสำหรับปัญญาประดิษฐ์,Introduction to Artificial Intelligence,3(3-0-6),1
EN-714-12002,EN-131-102,2,วิชาชีพบังคับ,2.2 แกนปัญญาประดิษฐ์,คณิตศาสตร์วิศวกรรมปัญญาประดิษฐ์,Mathematics for Artificial Intelligence,3(3-0-6),2
EN-714-12003,EN-131-203,2,วิชาชีพบังคับ,2.2 แกนปัญญาประดิษฐ์,การเรียนรู้ของเครื่องและการเรียนรู้เชิงลึก,Machine Learning and Deep Learning,3(2-2-5),3
EN-714-12004,EN-131-204,2,วิชาชีพบังคับ,2.2 แกนปัญญาประดิษฐ์,วิศวกรรมข้อมูลและข้อมูลขนาดใหญ่,Data Engineering and Big Data,3(3-0-6),3
EN-714-12005,EN-131-205,2,วิชาชีพบังคับ,2.2 แกนปัญญาประดิษฐ์,ระบบตรวจวัด ขับเคลื่อน และอินเทอร์เน็ตของสรรพสิ่งอัจฉริยะ,"Smart Sensing, Actuation and Internet of Things Systems",3(2-2-5),3
EN-714-12006,EN-131-206,2,วิชาชีพบังคับ,2.2 แกนปัญญาประดิษฐ์,คอมพิวเตอร์วิทัศน์และการวิเคราะห์ภาพ,Computer Vision and Image Analysis,3(2-2-5),4
EN-714-12007,EN-131-207,2,วิชาชีพบังคับ,2.2 แกนปัญญาประดิษฐ์,โครงสร้างพื้นฐานคลาวด์และการดำเนินการเรียนรู้ของเครื่อง,Cloud Infrastructure and Machine Learning Operations,3(2-2-5),4
EN-714-12008,EN-131-208,2,วิชาชีพบังคับ,2.2 แกนปัญญาประดิษฐ์,ปฏิบัติการวิศวกรรมเชิงบูรณาการ 4: เครือข่ายและโครงสร้างพื้นฐานสำหรับปัญญาประดิษฐ์,Integrated Engineering Workshop 4: Networking and AI Infrastructure,1(0-2-1),4
EN-714-12009,EN-132-201,2,วิชาชีพบังคับ,2.3 วิชาชีพบังคับ,ธุรกิจอัจฉริยะและการออกแบบผลิตภัณฑ์ปัญญาประดิษฐ์,AI Business Intelligence and Product Design,3(2-2-5),4
EN-714-12010,EN-132-202,2,วิชาชีพบังคับ,2.3 วิชาชีพบังคับ,ระบบตัดสินใจอัจฉริยะและการจัดการห่วงโซ่อุปทาน,Decision Intelligence and Supply Chain Management,3(2-2-5),4
EN-714-12011,EN-132-303,2,วิชาชีพบังคับ,2.3 วิชาชีพบังคับ,ระบบฟาร์มอัจฉริยะและเกษตรแม่นยำ,Smart Farming Systems and Precision Agriculture,3(2-2-5),5
EN-714-12012,EN-132-304,2,วิชาชีพบังคับ,2.3 วิชาชีพบังคับ,ระบบการผลิตอัจฉริยะและหุ่นยนต์อุตสาหกรรม,Smart Manufacturing and Industrial Robotics Systems,3(2-2-5),5
EN-714-12013,EN-132-305,2,วิชาชีพบังคับ,2.3 วิชาชีพบังคับ,วิศวกรรมซอฟต์แวร์และปัญญาประดิษฐ์,Software and AI Engineering,3(2-2-5),5
EN-714-12014,EN-132-306,2,วิชาชีพบังคับ,2.3 วิชาชีพบังคับ,ระบบเอเจนต์ปัญญาประดิษฐ์,Agentic AI Systems,3(2-2-5),6
EN-714-12015,EN-132-307,2,วิชาชีพบังคับ,2.3 วิชาชีพบังคับ,อากาศยานไร้คนขับสำหรับวิศวกรรมเกษตรอัจฉริยะ,Unmanned Aerial Vehicles for Smart Agricultural Engineering,3(2-2-5),6
EN-714-12016,EN-132-308,2,วิชาชีพบังคับ,2.3 วิชาชีพบังคับ,ปฏิบัติการวิศวกรรมเชิงบูรณาการ 5: ระบบอัตโนมัติและการผลิตอัจฉริยะ,Integrated Engineering Workshop 5: Industrial Automation and Smart Manufacturing,1(0-2-1),6
EN-714-12017,EN-134-301,2,วิชาชีพบังคับ,2.5 โครงงานและสัมมนา,สัมมนาวิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,Seminar in Artificial Intelligence Engineering and Intelligent Systems,1(0-2-1),5
EN-714-12018,EN-134-302,2,วิชาชีพบังคับ,2.5 โครงงานและสัมมนา,การเตรียมความพร้อมโครงงานวิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,Artificial Intelligence Engineering and Intelligent Systems Project Preparation,1(0-2-1),6
EN-714-12019,EN-134-403,2,วิชาชีพบังคับ,2.5 โครงงานและสัมมนา,โครงงานวิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,Artificial Intelligence Engineering and Intelligent Systems Project,3(1-4-4),7
EN-714-12020,EN-134-404,2,วิชาชีพบังคับ,2.5 โครงงานและสัมมนา,โครงงานบูรณาการกับสถานประกอบการทางวิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ,Workplace-Integrated Capstone Project in Artificial Intelligence and Intelligent System Engineering,3(1-4-4),7
EN-714-14001,EN-135-301,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,เกษตรกรรมอัจฉริยะและการจัดชลประทาน,Smart Agriculture and Irrigation Management,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14002,EN-135-302,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,ปัญญาประดิษฐ์สำหรับเกษตรกรรมแม่นยำ,Artificial Intelligence for Precision Agriculture,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14003,EN-135-303,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,ระบบสารสนเทศภูมิศาสตร์และการวิเคราะห์พื้นที่ทางการเกษตร,Geographic Information Systems and Spatial Analysis for Agriculture,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14004,EN-135-304,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,เทคโนโลยีและนวัตกรรมการจัดการหลังการเก็บเกี่ยว,Postharvest Management Technology and Innovation,3(3-0-6),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14005,EN-135-305,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,การพยากรณ์และวิเคราะห์ข้อมูลฟาร์มด้วยปัญญาประดิษฐ์,AI-Based Farm Data Forecasting and Analytics,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14006,EN-135-306,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,โรงงานผลิตพืชอัจฉริยะและเกษตรกรรมแนวดิ่ง,Smart Plant Factories and Vertical Farming,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14007,EN-135-307,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,เทคโนโลยีปัญญาประดิษฐ์เพื่อการปศุสัตว์อัจฉริยะ,Artificial Intelligence Technology for Smart Livestock,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14008,EN-135-308,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,คอมพิวเตอร์วิทัศน์สำหรับการจำแนกและคัดเกรดทางการเกษตร,Computer Vision for Agricultural Classification and Grading,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14009,EN-135-309,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,การเรียนรู้ของเครื่องและการวิเคราะห์ข้อมูลเซนเซอร์ในฟาร์ม,Machine Learning and Farm Sensor Data Analytics,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
EN-714-14010,EN-135-310,4,วิชาเลือก,2.4 วิชาเลือก · แขนง 1 เกษตรอัจฉริยะ,การจัดการการผลิตพืชอัจฉริยะด้วยปัญญาประดิษฐ์,Artificial Intelligence for Smart Crop Production Management,3(2-2-5),วิชาเลือก — ไม่ผูกภาคการศึกษา
